# tsumugu-ed public character form list · char	pinyin	gloss	parts(glyph=role:identity | ...)	form-zh · built 2026-08-26 from entries/chars
前	qián	noun — front	止=meaning:a foot — worn to the two ticks on top | 舟=meaning:a boat — worn to the 月 below | 刂=empty:a knife — added when this graph also wrote cutting (that word is 剪 now)	腳（止）踩在船（舟）上——人沒動，岸在退：不走也在前進。抄寫把腳磨成上頭兩點，把船磨成月；刀（刂）是後來上船的，那時這個字也寫剪斷的剪——後來那個詞搬去了剪。空間在前，時間在先：前面、以前、目前。
剎	shà/chà	verb — (shà) to halt, brake	杀=form:rendered bare — the worn left side | 刂=meaning:a knife	刀（刂）把東西生生截住——止住、剎車。讀 chà 時是借音：剎那是梵語 kṣaṇa，一瞬之間；古剎指佛寺。
剔	tī	verb — to pick out, scrape clean	刂=meaning:a knife | 易=sound:yì — gives the sound	刀（刂）伸進縫裡把東西挑出來——剔除、剔牙。易（yì）給聲音，聲母一下跳到 t，成了 tī；同一個易也給踢、惕送 t 的音。
剖	pōu	verb — to cut open, dissect	刂=meaning:a knife | 咅=sound:pǒu — gives the sound	刀（刂）把東西剖開到底——解剖，於是能剖白、剖析。咅（pǒu）給聲音，只有聲調升到 pōu；同一個咅也在倍、部、陪裡。
剛	gāng	adj/adv — hard, firm, unyielding	岡=sound:gāng — gives the sound | 刂=meaning:a knife — hard enough to cut	岡（gāng）——山的石脊——給聲音。配上刀（刂）：能切硬物的刃，於是堅、不彎——剛強、剛硬。借去說時間：剛剛切過去的那一刻，剛才、剛剛。
剝	bō/bāo	verb — to peel, strip off	刀=meaning:a knife — it splits the skin | 彔=sound:lù — gives the sound	刀（刀）把外皮劃開，一張掀下來——剝皮、剝殼。從剝掉外層，到把人剝個精光，剝削、剝奪。彔（lù）給聲音，離今天的音已經很遠。
剩	shèng	verb — to be left over, remain	乘=form:to ride, to multiply — the older body of the word | 刂=meaning:a knife — what is cut leaves a remainder	早先的字是賸；乘（騎、乘法）撐著音，旁邊加一把刀（刂），表示割完剩下的——剩餘、剩下、剩菜。
剪	jiǎn	verb — to cut with shears, clip, trim	刀=meaning:a knife — set under the blades | 前=sound:qián — gives the sound	刀（刀）在前底下——兩片刀刃交叉，剪布剪髮，剪刀、剪髮、剪報。前（qián）給聲音，挪到 jiǎn；同一個聲符還長出箭、煎。
副	fù	adj/noun — secondary, deputy	刂=meaning:a knife | 畐=sound:fú — gives the sound	刀（刂）把一個滿滿的東西（畐）剖成相配的幾分——主件旁邊那分就是副的、第二的。畐（fú）給聲音，只有聲調落到 fù；由剖出的配件引出「一副、一套」：副本、一副。
割	gē	verb — to cut, slash	刂=meaning:a knife | 害=sound:hài — gives the sound	刀（刂）一刀切到底——割開、宰割，於是能割地讓人。害（hài）給聲音，音變得離得遠，成了 gē；同一個害也在轄、瞎裡。
創	chuàng	verb — to create, originate	刀=meaning:a knife (刂) | 倉=sound:cāng — gives the sound	刀（刂）劃下第一刀——從無到有，開創。倉（cāng）給聲音，c 磨利成 ch。同樣這把刀，也給了另一個讀法：傷口，創傷。
劃	huà/huá	verb — to demarcate, plan	畫=sound:huà — gives the sound exactly, and the line being drawn | 刂=meaning:a knife	刀（刂）靠著畫好的線（畫）——刻下去、分出界線。讀 huá 是那一下子：劃破、劃火柴；讀 huà 是先把線分好：劃分、計劃。
劇	jù	adjective — intense, severe	刀=meaning:a knife — the edge of exertion | 豦=sound:jù — gives the sound	刀（刀）旁邊一個豦（野豬和虎纏鬥）——本來是猛烈、激烈：劇烈、加劇。從這股勁頭轉到戲台上，就是戲劇、劇本。豦（jù）給聲音，還長出據、遽。
劍	jiàn	noun — a sword, a double-edged blade	刂=meaning:a knife, a blade (刀) | 僉=sound:qiān — gives the sound	右邊是刀（刂，本是刀）；僉（qiān）——許多嘴一起應和——給聲音，移到 jiàn。是人佩在腰上、兩邊都開刃的兵器：寶劍、劍法、刀劍。僉 還蓋出 檢、儉、簽、險。
劑	jì	noun — a measured dose, preparation	刀=meaning:a knife — it cuts to a measure | 齊=sound:qí — gives the sound, and trims everything even	刀（刀）把每一份切得跟齊（穀穗長得一樣高）一般齊——量好分量：藥劑、劑量、調劑。齊（qí）給聲音，挪到 jì。
力	lì	noun — strength, force, power	力=form:rendered bare — no claimed origin	古文字有兩個說法：一條使勁的手臂，筋都鼓起來——力在肌肉裡；或是一張木犁，握把和入土的犁頭——力在田裡。力氣、能力、努力，都從這裡來。
功	gōng	noun — merit, achievement	工=sound:gōng — work; gives the sound and the sense in one | 力=meaning:strength — a flexed arm	力氣（力）放進工（工）裡——合起來寫的是事做完留下的成績。工（gōng）一邊標聲音，一邊就是那件工。成功是事做成了；功夫是多年下進去的力；功課是該下力的事。
加	jiā	verb — to add	力=meaning:strength — a flexed arm | 口=meaning:a mouth	嘴上（口）使勁（力）——話越說越過頭，本義是誇大、把話加上去。往上放這個動作留了下來：增加、加上；參加是把自己加進去，加油是再添一把。
劣	liè	adjective — inferior, poor, of low quality	少=meaning:few, little — too little | 力=meaning:strength	力（力）少（少）了——力氣不足，就是劣等、低劣。兩個部件直接寫出結論：劣等、惡劣、劣勢。
助	zhù	verb — to help, assist	力=meaning:strength, a flexed arm | 且=sound:qiě — gives the sound	給人添一把力（力）——幫助。且（qiě）給聲音，跟祖、組、阻同一塊，這裡磨成了 zhù。哪裡缺手，就把手伸過去：幫助、助手、資助。
努	nǔ	verb — to exert, strive	力=meaning:strength, a flexed arm | 奴=sound:nú — gives the sound	把力氣（力）全壓上去——努。奴（nú）給聲音，怒、弩底下都是它。咬住勁不放，直到事情動了：努力、努嘴。
勁	jìn	noun/adj — strength, energy, vigor	力=meaning:strength | 巠=sound:jīng — gives the sound	力（力）繃得又直又緊——勁頭、勁道。巠（jīng）給聲音，本身就是繃直的經線；同一個巠也蓋出經、輕、徑。
勃	bó	adj/verb — sudden, vigorous, surging up	力=meaning:strength | 孛=sound:bó — gives the sound	力（力）猛地往上衝——興起、旺盛、突然發作。孛（bó）給聲音，音不變，它「綻放」的意思也合那股衝勁：勃發、蓬勃、勃然。
勇	yǒng	adj/noun — brave, bold	力=meaning:strength | 甬=sound:yǒng — gives the sound	力（力）由內往上湧——勇氣、膽量。甬（yǒng）給聲音，音不變；同一個甬在湧（水）和踊（腳）裡也往上冒。
勉	miǎn	verb — to strive, exert oneself	力=meaning:strength | 免=sound:miǎn — gives the sound	把力（力）使到盡頭——努力、自勉，也用來勉勵別人。免（miǎn）給聲音，音不變；那原本扭身脫逃的，如今咬牙使勁：勉力、勤勉、勸勉。
勒	lè	verb — to rein in, strap tight	革=meaning:leather — the bridle-strap | 力=sound:lì — gives the sound	一條皮帶（革）勒緊在馬頭上——馬絡頭，於是引出勒住、強逼。力（力）給聲音，音變得離得遠，成了 lè。由拉緊韁繩引出勒索、勒石。
動	dòng	verb — to move	重=sound:zhòng — gives the sound | 力=meaning:strength — a flexed arm	力氣（力）使上去，東西就動了；重（zhòng）給聲音，跨過 d、zh 那條線——它又正好是被搬動的重物。動起來的是活動、運動；會動的東西是動物；心被搬動，是感動。
務	wù	noun/verb — task, affairs	敄=sound:wù — gives the sound, an exact match | 力=meaning:strength	力（力）上面是敄（wù）——長矛加一隻打的手，往前逼；聲音完全一樣。力氣往一件事上使：是務農的務，也是使力對著的那件事——任務、事務。
勝	shèng	verb — to win, defeat	力=meaning:strength | 朕=sound:zhèn — gives the sound	力（力）管意思——擔得起、扛得住、勝任。朕（zhèn）帶聲音。由「擔得起」到「贏」：扛得住場面的那一方——勝利、勝負，再到超過——勝過、優勝。
勞	láo	verb/noun — to toil	炏=meaning:twin fires | 冖=meaning:a roof | 力=meaning:strength — a flexed arm	屋頂（冖）上是火（炏），底下是力氣（力）。古字有兩個說法：屋子燒起來、拚了全身的力去救——或是燈火點到半夜、活還沒做完。怎麼講都是燒著力氣的辛勞：勞動、疲勞。
募	mù	verb — to raise, recruit, enlist (funds or people) by callin	力=meaning:strength, effort | 莫=sound:mò — gives the sound	出力（力）把人或錢廣為聚起來——招募、募集。莫（mò）給聲音，韻收緊成 mù。一聲廣求，就有了募兵、募款、招募。
勢	shì	noun — power, force	力=meaning:strength | 埶=sound:yì — gives the sound	底下的力（力）管意思——力量到了頂。上面的埶（yì，本是栽種、安置）帶聲音。由純粹的力量，到局勢的力量：勢力、權勢，再到事情的走向——形勢、趨勢。
勤	qín	adjective — diligent, hardworking	力=meaning:strength | 堇=sound:jǐn — gives the sound	力（力）是意思——出力、下功夫。堇（jǐn）帶聲音。由「賣力做事」到讚它的詞：用功不鬆懈——勤奮、勤勞，再到常做、勤做——勤快、殷勤。
勵	lì	verb — to urge on, encourage, spur (oneself or another) to e	力=meaning:strength, effort | 厲=sound:lì — gives the sound	力（力）在磨石上磨利——激勵、奮發。厲（lì）給聲音。磨快了再上，於是有了勉勵、鼓勵、激勵。
勸	quàn	verb — to urge, advise, persuade	力=meaning:strength | 雚=sound:huán — gives the sound	力（力）用在別人身上——花力氣推動他。雚（huán）帶聲音。由「為他出力」：催他去做、把他說動——勸告、勸說，到鼓勵他——勸勉、勸學。
勻	yún	adj/verb — even, uniform	勹=form:a wrapping arm, curved around | 二=meaning:two — the even split inside	一隻彎臂（勹）抱住裡頭的兩畫（二）——所抱的，平分成兩份：勻稱、勻分。
勾	gōu	verb — to hook, draw a line through	勹=form:a wrapping arm, curved round | 厶=form:the small turn caught inside the curve	身子彎成一個圈（勹），把裡頭的東西鉤住——勾住、劃一道：打勾、勾畫、勾銷。從拉住的鉤子，到把人勾過來，勾引。它跟句是彎曲的同源。
勿	wù	adverb — do not, must not (a prohibition)	勿=form:rendered bare — a pole with streamers flying off it	一根旗桿，三條飄帶在風裡甩開——一面號旗，揮動著示警喊停。很早就被借去當它喊的那句話：別、不要，勿忘、請勿、切勿。當聲音用，給出物、忽。
包	bāo	verb/noun — to wrap	勹=meaning:a figure bent around — wrapping arms | 巳=meaning:the unborn child, curled	身體彎起來（勹），裹住蜷著的小孩（巳）——母腹包著裡面長的。合起來寫的就是包；包起來的東西是包子、書包，整個收進來是包括。
匆	cōng	adj/adv — hurried, hasty, in a rush	心=meaning:a heart — the mind under pressure | 勿=form:a stroked-through frame — the rush around it	一顆心（心）被急促的筆畫圈住——時間趕著的一顆心，慌慌張張：匆忙、匆促、匆匆。外圈寫成勿的樣子。
化	huà	verb — to change, transform	亻=meaning:a person, upright | 匕=meaning:the same person, flipped head-down	一個人正著站（亻），同一個人頭下腳上（匕）——整個翻了過來。合起來寫的是變：樣子變（變化）、固體化掉（雪化了）、人被教變了（教化、文化）。
北	běi	noun — north	北=form:two people standing back to back	兩個人背靠背站著——本來寫的就是背，後來加上月成了背。房子朝南蓋，背對著的那一邊就是北。打仗轉身背對敵人，叫敗北。
匙	chí	noun — spoon	匕=meaning:a spoon, the old ladle pictograph | 是=sound:shì — gives the sound	匕是古代勺子的樣子。是（shì）借聲音，磨成了 chí。一支舀湯的小勺，也是撥開鎖的那把齒勺：湯匙、鑰匙。
匠	jiàng	noun — a craftsman, an artisan	匚=meaning:an open box, a tool-chest | 斤=meaning:an axe — the woodworker's tool, set inside the chest	工具箱（匚）裡放著一把斧頭（斤）——擁有工具和手藝的人：木匠、工匠。從木工引到一切有手藝的：工匠、木匠、匠心。
匯	huì	verb — to converge, gather, channel	氵=meaning:water — streams running together | 匚=meaning:an open box that collects | 淮=sound:huái — gives the sound	水（氵）收進一個匣子（匚）——許多支流匯到一處：匯集、匯流。從把東西導到一處，到把錢匯過去，匯款、匯率。聲音有兩種講法：一說是水底下的淮（huái），收窄成 huì；一說是會（huì，會合），音近，也正點出「匯聚」。
匹	pǐ	noun/measure — a bolt of cloth	匚=form:a box, an enclosure | 八=form:the splitting stroke	一匹布摺進匚裡，八把它分成兩疊——一匹，四丈長。從這量好的布，來了量詞，也來了「相當、成對」的意思：匹配、匹敵。
匾	biǎn	noun — a horizontal inscribed board, a plaque	匚=meaning:a flat box, a flat thing | 扁=sound:biǎn — gives the sound, and means flat	一個扁扁的框（匚）裝著扁（門邊一塊扁平的牌）——一塊刨得又寬又平的板，刻上字掛起來：匾額、牌匾。扁（biǎn）給聲音，本義也正是「扁」。
區	qū	noun — district, zone	匸=meaning:a box opening sideways — concealment | 品=meaning:stacked vessels — three 口	器皿（品）收進側開的匣子（匸）——一格一格藏好（說文：藏匿也）。從分格收納，到劃分出來的一塊一塊：區分、地區、市區。
十	shí	num — ten	十=form:one upright stroke in the oracle script — ten, drawn directly	甲骨文的十就是一豎。十把數數收滿，所以也當「滿」用：十分、十全十美。
千	qiān	num — thousand	人=sound:rén — the old sound under qiān | 一=meaning:one — the counting stroke	計數的記號：在人（人）身上畫一橫（一）——一個人形，記一千。人也借出它古時的聲音，磨遠了，成了 qiān。從數目到數不完：千萬、千山萬水。
升	shēng	verb — to rise, ascend	升=form:rendered bare — a ladle with grain in its bowl	一把長柄勺，舀起來時，勺裡點著一粒穀——量乾貨的斗升，舀起、抬高。從這一舀一抬：往上升，上升、升起；地位被抬高，升職、升級。容量這層留在公升。
午	wǔ	noun — noon, midday	午=form:a pestle, drawn whole — the borrowed-away original of 杵	舂米的杵——杵最早的寫法。曆法把它借去當第七個地支，太陽最高的那個時辰；杵的本義只好搬家，自己加了個木。上午、中午、下午。
卉	huì	noun — plants, herbage	屮=meaning:a sprout pushing up — three of them	三棵芽（屮）一齊冒出地面——不是一棵，是一片，草木的總稱：花卉、奇花異卉。畫面是一地的綠，好幾叢一起。
半	bàn	num — half	八=meaning:dividing — two strokes pulling apart | 牛=meaning:an ox	一頭牛（牛）從正中分開（八）——半。家裡最大的牲口分成兩份；後來一切走到一半的都是它：一半、半天、半夜。
卓	zhuó	adjective — tall, outstanding, eminent	早=form:the early sun (日) over a stalk (十) | 匕=form:a standing figure	一個人（匕）立在早（早）字上頭——比四周高出一截。從「立得高」來了「出眾」：卓越、卓見、卓著。
協	xié	verb — to cooperate, work together, harmonize	劦=meaning:three plows (力) pulling as one | 十=meaning:ten — the many, pulling together	三股力（劦，三個力）使在同一件事上，加個十表示湊齊了人數——眾人同心，一齊使勁：協助、協調、協會。畫面是大家肩著同一副擔子。
南	nán	noun — south	十=meaning:cross or pole for hanging	古文字有兩個說法。一說，南是一件吊起來敲的鐘形樂器——形狀被借去指南方。一說，畫的是枝葉朝著暖南生長的草木（南方）。無論哪個，今天這個方塊都認不出那些部件了，留下的就是「南」這個方向：南方、南風、東南。
博	bó	adjective — broad, wide-ranging, learned	十=meaning:the full count — all ten, completeness | 尃=sound:fū — gives the sound	十（十）的全數鋪展開來（尃）——廣大、通達。尃（fū）給聲音，f 退回到 b。從「廣」來了博學、淵博、廣博。
占	zhàn/zhān	verb — (zhàn) to occupy, take up, hold	卜=meaning:a divining crack — the line read in a heated bone | 口=meaning:a mouth — speaking out the omen	卜兆的裂紋（卜）加上一張嘴（口），把卦象說出來——占卜，讀 zhān。從憑卜兆認下地盤，音轉成 zhàn：佔據、佔有、占用。
卡	kǎ	verb — to wedge, jam	上=form:the top half of 上 (up) | 下=form:the bottom half of 下 (down)	後起的字，用眼睛拼出來的，不帶聲符：上壓著下，共用一橫，夾在上不去、下不來之間的東西，就卡住了。從「卡住」引申，插進槽裡的小硬片：卡片、信用卡；攔住你的那道門，關卡。
卦	guà	noun — a divinatory symbol, a trigram or hexagram	卜=meaning:the crack of divination | 圭=sound:guī — gives the sound	占卜的裂紋（卜），對著圭（一塊玉版）讀出來——卜出來的那個符號：八卦、卦象、占卦。圭（guī）給聲音，挪到 guà。
印	yìn	verb — to print, stamp	爪=meaning:a hand pressing down from above | 卪=meaning:a kneeling figure, the credential seal	一隻手（爪）從上往下按住跪著的人（卪）——掌權者手裡的官印，往下一蓋。從蓋章引申，凡按印上去的：印章、印刷；按出來的痕跡，印象。
危	wēi	noun/adj — danger	厃=sound:wēi — gives the sound, and draws the cliff-top figure too | 卪=meaning:a second figure kneeling below, holding back	古文字有兩個說法。一說，一個人獨自站在崖上（厃），自高臨下，光這一幕就是險。另一說，厃（wēi）在上頭，既畫崖邊也給聲音，底下一個跪著的人（卪）攔著不讓跌。無論哪個：站得高、心裡慌——就是危。從崖邊引申，凡是搖搖欲墜的：危險、危機、危急。
即	jí	adverb — at once, right away	皀=meaning:a bowl heaped with food | 卩=sound:jié — a person kneeling beside it, and the sound	一個人（卩）跪到一碗滿滿的飯（皀）跟前——正要吃，貼得不能再近。卩（jié）同時給聲音，韻磨成了 jí。從這「貼到跟前」來了今天的意思：馬上、立刻——立即、即刻。
卵	luǎn	noun — egg	卵=form:rendered bare — a pair of eggs, each with its yolk	兩顆蛋並排掛著，各有一點蛋黃——卵。從畫出來的蛋來了卵子、鳥卵、卵生。
卷	juǎn/juàn	verb (juǎn) — to roll up, curl	卪=meaning:a kneeling person, body bent | 龹=sound:the upper half carries the sound; worn down from the old phonetic	底下一個跪坐的人（卪），身子彎著——整字講的就是彎曲、捲起。上面原本有清楚的聲符，磨成了今天看到的龹。由「彎」：捲起來（juǎn），再到捲成的東西——書卷、卷軸、考卷（juàn）。
卻	què	verb — to step back, decline, refuse	卩=meaning:a person kneeling, drawn back | 谷=form:a valley mouth — the other half of the body	一個跪著的人（卩）往後縮，推辭——退開、推開：退卻、推卻。從這個一轉、一反的勁，引出「可是、然而」的卻。旁邊一個谷，聲音那一層磨到認不出了。
厚	hòu	adjective — thick	厂=meaning:a cliff, layers of rock | 旱=form:the thick layers stacked below the cliff	一道崖（厂），底下層層疊著厚厚的岩——厚薄，從疊起來的層數算：厚薄、厚度。從堆得厚實，引出待人的厚道、忠厚、深厚。畫面是岩層，不是它現在看像的旱。
原	yuán	noun/adj — source	厂=meaning:a cliff | 泉=meaning:a spring	崖（厂）下一眼泉（泉）——水從石縫裡冒出來；合起來寫的就是源頭。河最初的那點水，也是事情最初的樣子：原來、原因、原本。水的本義後來另立了一個字，源。原也指寬平的大地——平原、草原。
厭	yàn	verb — to be fed up with, tire of	厂=meaning:a cliff, pressing down | 猒=sound:yān — gives the sound; a dog (犬) over meat (月), gorged full	崖（厂）底下一個猒——一條狗（犬）吃肉（月）吃到撐，再也吃不下：飽到膩。從吃膩到厭煩，厭倦、討厭、厭惡。猒（yān）既給聲音，也給「飽膩」這層意思。
厲	lì	adjective — severe, stern, fierce	厂=meaning:a cliff — where the rough stone is quarried | 萬=sound:wàn — gives the sound	崖（厂）上採下的粗石——一塊磨刀石，拿來磨利刀刃的硬石：砥厲。從磨利的刃，引出嚴厲、厲害、厲行。底下的聲音有兩種讀法：一說是今天寫在字上的萬（wàn），磨到很遠成了 lì；一說是萬所代的蠆（chài，蠍子），lì 這一系更早的聲符。
去	qù	verb — to go	土=meaning:a person striding — worn from 大 | 厶=meaning:the dwelling's mouth — worn from 口	古文字是一個人（大）跨在穴居的洞口（口）上——正要離開。抄了幾百年，人寫方成了土，洞口捲成了厶。從離開生出去：去學校、過去，還有拿去、出去的去。
參	cān/shēn	verb — to join, take part (cān)	厽=meaning:three stars — Orion's belt | 人=meaning:a person beneath the stars | 彡=sound:shān — gives the sound; drawn as streaming light	三顆星（厽）在人（人）的頭頂上，光一道道（彡）灑下來——這是參宿，獵戶腰帶上的三顆星。彡（shān）兼作聲音，轉成 shēn；星名讀 shēn，人參也讀它。讀 cān，就是日常的參加、參考。
又	yòu	adverb — again, once more	又=form:a right hand drawn whole — three fingers and a wrist	一隻右手，整個畫下來——三根指頭、一截手腕。手的意思搬去了右和有；空下來的字留給「再一次」：又來了、又下雨了。
叉	chā	noun — fork	又=meaning:a hand | 丶=form:a mark dropped between the fingers — the fork itself	一隻手（又），手指間點上一筆（丶）——岔開的那道縫。從這個分岔引申：吃飯的叉子，兩條線交錯的交叉。
及	jí	verb — to reach, catch up	人=meaning:a person, ahead | 又=meaning:a hand, reaching from behind	後面一隻手（又）搭上前面那個人（人）——趕上了、夠到了。趕得上是來得及；夠到那條線是及格；一路夠到下一項，就是以及。
友	yǒu	noun — friend	又=meaning:a right hand | 又=meaning:a second right hand, reaching the same way	兩隻右手（又又）朝同一個方向伸，並排——一起使力的手。同心的人：朋友、友善、友邦。
反	fǎn	verb/adj — to turn over, reverse	厂=form:a slope, a cliff face — the surface the hand works against | 又=meaning:a hand — the one that flips, that turns back	一隻手（又）貼著坡崖（厂），把東西翻過來——翻、反。從翻過的手，引出相反的一面，反面；引出對著幹，反對；引出折返，那加上走之的返。反又把聲音借給返、板、飯。
叔	shū	noun — father's younger brother	又=meaning:a hand, picking up | 尗=sound:shú — gives the sound	一隻手（又）撿豆子（尗）——本義是拾取。尗（shú）也給聲音，磨成了 shū。日常借去指排行小的那個弟弟，後來的那位：叔叔、叔父。
取	qǔ	verb — to take, obtain	耳=meaning:an ear | 又=meaning:a right hand	一隻手（又）抓著一隻耳朵（耳）。古時軍中割下敵人的耳朵記功——手裡的耳朵就是「拿到了」。本義是拿取；拿到是取得、爭取；加個女字成了娶——娶親。
受	shòu	verb — to receive	爫=meaning:a hand reaching down from above | 冖=empty:worn remainder of the tray passed between the hands | 又=meaning:a hand below, catching	兩隻手——上面一隻（爫），下面一隻（又）——中間遞過去的東西，磨成了一條冖。這個字原本給和拿都寫；後來接的那隻手留下了它，給的那隻手另造一個字——授。落到你手上的，是受到、接受；扛得住的，是受得了。
叢	cóng	noun — a thicket, cluster	丵=meaning:dense growth bristling up | 取=sound:qǔ — gives the sound	密密的草芽豎著冒（丵）——長得太擠，擠成一團：叢林、草叢、叢生。從密生的灌叢，引出任何一簇，叢書、人叢。取（qǔ）給聲音，磨到很遠，成了 cóng。
口	kǒu	noun — mouth	口=form:an open mouth	張開的嘴，圓口被筆畫寫方了。身體的門——後來一切的門口都是口：門口、路口、出口；一家人一張嘴一張嘴地數，是人口。
古	gǔ	adjective — ancient, old	十=meaning:ten — many, generations stacked up | 口=meaning:the mouth — words spoken, passed down	十（十）在口（口）上：話經過十張嘴、十代人傳下來——這就是古。一張嘴傳給一張嘴，傳到老。古又把聲音借給苦、姑、固、故。
句	jù	noun — a sentence	勹=form:a hook curling around | 口=meaning:a mouth — speech	一個彎鉤（勹）勾著一張口（口）——本來就是「鉤」這個詞，讀 gōu，後來寫成勾、鉤。話也一段一段勾開：一句話、句子、句點。
另	lìng	adv/adj — separately	另=form:rendered bare — 口 over 力 carries no settled graph account; likely split off from 別	另沒有定說的字形；口加力，靠用法認，不靠拆解。它把一個從其餘裡分出來——另外、另一個、另一半。字多半是從「別」分出來的，別是切開。
叨	dāo	verb — to chatter on	口=meaning:the mouth | 刀=sound:dāo — gives the sound	嘴（口）像刀（刀）一樣不停——說個沒完。刀（dāo）原音照搬。從這張閒不下的嘴來了嘮叨、叨念；謙辭裡又有叨光。
只	zhǐ	adverb — only, just	口=meaning:a mouth | 八=form:two strokes — breath trailing down from the mouth	一張口（口），下面兩筆（八）是往下散的氣——合起來寫的是句尾收住的那口氣，古時的語氣詞。現在「只有、只要」的只，是借這個字寫的。
叫	jiào	verb — to call, cry out	口=meaning:a mouth | 丩=sound:jiū — gives the sound	口（口）喊出去；丩（jiū）給聲音，磨成 jiào。從喊叫到名字——你叫什麼，就是別人喊你什麼：我叫⋯、叫做。
召	zhào	verb — to summon, call together, convene	口=meaning:a mouth — it calls out | 刀=sound:dāo — gives the sound	一張嘴（口）在喊，上頭擱個刀管聲音——把人喚過來的那一聲：召喚、召集、召開。刀（dāo）給聲音，挪到 zhào，同一個聲符還長出招、昭、詔。
叭	bā	onomatopoeia — the toot of a horn	口=meaning:the mouth — the sound source | 八=sound:bā — gives the sound	嘴（口）配上 bā 的聲音（八）——把號角的響聲寫下來。八原音照搬。和喇湊成一對，就是喇叭。
可	kě	verb — may, can	可=form:rendered bare (origin carries no claimed role)	口開口答應——可。更大的工作是聲音：可蓋出河、何、哥，哥再蓋出歌。
台	tái	noun — platform, station	厶=sound:the worn shape of 以 yǐ — gave the old word its sound | 口=meaning:a mouth — the old word: pleased	口（口）上面一個磨短的以（厶）——這個字自己的詞是 yí，喜悅，早就不用了。天天寫的 tái 是借來的衣服：台替臺站崗，一替就是幾百年——台灣、台北、電視台。
史	shǐ	noun — history	中=meaning:the record-keeper's implement | 又=meaning:a hand, gripping it	一隻手（又）握著記錄（中）——管記錄的人：史官。古文字有兩個說法：握的是裝算籌的器，或是寫字用的板——不管哪個，記錄都在手裡。史官寫下來的東西，後來就跟著叫史：歷史、史書。
右	yòu	noun/adj — right	𠂇=meaning:a hand — the right hand | 口=meaning:a mouth	右手本來寫作又；又被借去寫「再、又」之後，加一個口，把這隻手留在紙上——餵嘴、幫腔的那隻手。幫助的意思後來加了人（亻），寫成佑。
司	sī	verb — to take charge of, manage	司=form:a hand bent over a mouth (口), drawn whole	古文字有兩個說法：手舉在口（口）上，發號施令；或是后反過來寫，從另一邊看的發令者。怎麼說都是管事：司什麼，就管什麼——司機、司法、公司。
吃	chī	verb — to eat	口=meaning:a mouth | 乞=sound:qǐ — gives the sound	口（口）配乞（qǐ）的聲音。本來寫口吃——話在嘴裡卡住，口吃這個詞還留著它；後來吃飯的吃從筆畫多的喫搬了進來。這張嘴從卡住的話，換成了進口的飯：吃飯、好吃。
各	gè	pron — each, every	夂=meaning:a foot, pointing down — arriving | 口=meaning:the entrance — a dwelling's mouth	一隻腳（夂）落在門口（口）——到了。客、格裡還留著它的影子。日常的「每一個」借走了這個字：各位、各種、各自。
合	hé	verb — to close	亼=meaning:a lid | 口=meaning:the vessel's mouth — the opening	蓋子（亼）落在開口（口）上，邊對著邊整整齊齊——閉上、合得起來。合得來就走在一起：適合、合作、結合。
吉	jí	adjective — lucky, auspicious	士=meaning:a man of standing up top — an upright scholar | 口=meaning:a mouth beneath — words spoken	上頭一個有德之士（士），底下一張口（口）——賢者口中的好話，於是吉，古訓「善也」。兩塊都看得清。由吉利引到成語：吉祥、吉日。當聲符，蓋出一整排：結、潔、桔。
吊	diào	verb — to hang, suspend	口=form:the mouth, the opening up top | 巾=form:a hanging cloth	一塊布（巾）從上頭的口（口）垂下來——懸著的東西。這字又通「弔」，古時弔喪的人帶著旛旗來。從「懸掛」分出兩路：吊燈、吊橋與吊唁。
同	tóng	adjective — same	冂=form:the outer frame — a cover in one telling, a carrying frame in the other | 口=meaning:a mouth	古文字有兩個說法：一個蓋子（冂）罩著嘴（口）——大家說同一句話；或是一張抬東西的架子，加一張喊口令的嘴——眾人跟著同一聲使力。兩個說法落在同一個字上：一樣、一起——相同、同時、同學。
名	míng	noun — name	夕=meaning:dusk, the evening moon | 口=meaning:a mouth, calling out	天黑了（夕），看不清臉，就開口（口）報出自己是誰——這就是名。從命名引申，一個人用的稱呼，再到積起來的名聲：名字、姓名、名聲、著名。
后	hòu	noun — a sovereign	𠂉=form:the figure of a ruler, seated above | 口=meaning:a mouth — the command coming out	一位君主（𠂉）俯身對著張開的口（口）——發號施令的那個人。古文字有兩個說法：發布命令的君王，或是繁衍血脈的母親——都是一家之主。從君主引到君主的妻子：皇后、王后。
吏	lì	noun — a minor official, a clerk	一=meaning:the record held up | 史=meaning:a hand holding the record	跟史（史官）同一隻手、同一份記錄，上面多加一橫（一）——把記錄高高舉起。吏和史本是一個字分出來的：史管記錄，吏辦事。辦事的官：官吏、吏部。
吐	tǔ	verb — to spit out	口=meaning:a mouth | 土=sound:tǔ — gives the sound	嘴（口）把東西送出來——吐、嘔吐。土（tǔ）在旁邊給聲音，杜、肚底下也是它。從嘴裡出來的不只是食物：吐露、吐氣。
向	xiàng	verb/prep — to face, toward	宀=meaning:a roof, the house | 口=meaning:an opening cut in the wall — a window	房（宀）牆上開的一個口（口），朝著一面——本義是朝北的窗。從牆面朝向一方，引申為面對、朝著：方向、面向、走向；從前一向偏著的，向來。
