# tsumugu-ed public word list · headword	pinyin	gloss (full en definition)	level · built 2026-08-26 from entries/words + indexes/by-level.json
多媒體	duōméitǐ	noun — multimedia (text, sound, image, and video combined)	TOCFL 5
多寡	duōguǎ	noun — the amount, how much or how little; the quantity (whether many or few)	TOCFL 5
多少	duōshǎo	pronoun — how many, how much; (some) amount	TOCFL 1
多數	duōshù	noun — the majority; most (of)	TOCFL 4
多次	duōcì	adverb — many times, repeatedly	TOCFL 2
多虧	duōkuī	adverb — thanks to, luckily because of; it's a good thing that …	TOCFL 5
多謝	duōxiè	verb — many thanks, thanks a lot	TOCFL 4
多麼	duōme	adverb — how…, so… (in exclamations: how lovely! so big!)	TOCFL 3
夜市	yèshì	noun — a night market	TOCFL 2
夜晚	yèwǎn	noun — night, nighttime	TOCFL 2
夜景	yèjǐng	noun — night scene, night view (lights of a city or place after dark)	TOCFL 4
夜裡	yèlǐ	noun — during the night, at night	TOCFL 3
夢到	mèngdào	verb — to dream of, to see (someone/something) in a dream	TOCFL 4
夢想	mèngxiǎng	noun/verb — a dream, an aspiration; to dream of, to long for	TOCFL 4
夢見	mèngjiàn	verb — to dream of, to see (something or someone) in a dream	TOCFL 5
夥伴	huǒbàn	noun — a partner, a companion, a teammate	TOCFL 5
大事	dàshì	noun — a big deal; an important matter	TOCFL 1
大人	dàrén	noun — an adult, a grown-up; (historical) sir, your honour	TOCFL 2
大使	dàshǐ	noun — an ambassador	TOCFL 5
大便	dàbiàn	noun/verb — stool, faeces; to defecate	TOCFL 4
大典	dàdiǎn	noun — a grand ceremony; a major formal rite	TOCFL 6
大別山	Dàbiéshān	proper noun — the Dabie Mountains, a range straddling Hubei, Henan and Anhui in central China	named-entity
大力	dàlì	adverb — vigorously, with great effort	TOCFL 6
大半	dàbàn	noun/adv — the greater part, most of; for the most part, probably	TOCFL 4
大叫	dàjiào	verb — to shout, to cry out loudly	TOCFL 1
大哥	dàgē	noun — eldest brother; big brother (also a respectful term for an older man)	TOCFL 1
大地	dàdì	noun — the earth, the land, the broad ground (often poetic: the whole land)	TOCFL 4
大型	dàxíng	adjective — large-scale; full-size; grand	TOCFL 4
大多	dàduō	adverb — mostly; for the most part	TOCFL 1
大多數	dàduōshù	noun — the majority; most of them	TOCFL 3
大大	dàdà	adverb — greatly, by a wide margin	TOCFL 1
大夫	dàifu	noun — doctor (a colloquial word for a physician)	TOCFL 4
大嫂	dàsǎo	noun — eldest brother's wife; also a polite term for an older married woman	TOCFL 4
大學	dàxué	noun — university; college	TOCFL 1
大學士	dàxuéshì	noun — Grand Secretary, the highest-ranking scholar-official of the Ming and Qing court	named-entity
大學生	dàxuéshēng	noun — university student; college student	TOCFL 3
大家	dàjiā	pronoun — everyone; all of us; everybody	TOCFL 1
大小	dàxiǎo	noun — size; how big or small	TOCFL 4
大師	dàshī	noun — a master; a great expert in an art or craft	TOCFL 5
大廳	dàtīng	noun — hall, lobby, large reception room	TOCFL 4
大意	dàyì	noun — the gist, main idea; (dàyi) careless, negligent	TOCFL 4
大戰	dàzhàn	noun — a great war, a major battle; verb — to fight a great battle	TOCFL 5
大批	dàpī	adjective — a large batch of, large numbers of	TOCFL 5
大方	dàfāng	adjective — generous, free with money; unaffected, in good taste	TOCFL 3
大會	dàhuì	noun — a general assembly, a mass meeting or congress	TOCFL 3
大有	dàyǒu	verb — to have a great deal of, to abound in (大有人在 = there are plenty of such people)	TOCFL 4
大概	dàgài	adverb — probably, roughly; adj/noun — a general idea, the gist	TOCFL 3
大樓	dàlóu	noun — a large multi-storey building, a tower block	TOCFL 1
大橋	dàqiáo	noun — a large bridge	TOCFL 4
大氣	dàqì	noun — the atmosphere; adjective — grand, generous in manner	TOCFL 6
大洋洲	Dàyángzhōu	proper noun — Oceania, the continent of Australia and the Pacific islands	named-entity
大清	dàqīng	proper noun — the Great Qing, the formal name of the Qing dynasty (1636–1912), China's last imperial dynasty, ruled by the Manchus	named-entity
大清早	dàqīngzǎo	noun — the early morning, first thing in the morning, the crack of dawn	TOCFL 4
大片	dàpiàn	noun — a blockbuster film; a big-budget movie	TOCFL 4
大眾	dàzhòng	noun/adj — the masses, the general public; popular, for everyone	TOCFL 4
大米	dàmǐ	noun — (uncooked) rice; husked rice grains	TOCFL 3
大約	dàyuē	adverb — approximately; about; roughly	TOCFL 4
大綱	dàgāng	noun — an outline	TOCFL 6
大聲	dàshēng	adjective, adverb — loud, loudly	TOCFL 1
大腦	dànǎo	noun — the brain; figuratively the mind, the thinking center	TOCFL 4
大腿	dàtuǐ	noun — the thigh, the upper leg	TOCFL 4
大膽	dàdǎn	adjective — bold, daring, audacious	TOCFL 4
大臣	dàchén	noun — high official, minister (of a ruler)	TOCFL 7
大自然	dàzìrán	noun — nature, the natural world	TOCFL 4
大致	dàzhì	adverb — roughly; on the whole; broadly speaking	TOCFL 5
大街	dàjiē	noun — a main street, the high street	TOCFL 2
大衣	dàyī	noun — an overcoat, a topcoat	TOCFL 1
大規模	dàguīmó	adjective — large-scale; on a big scale	TOCFL 1
大象	dàxiàng	noun — elephant	TOCFL 4
大軍	dàjūn	noun — a large army, a great force of troops	TOCFL 5
大道	dàdào	noun — main road; grand avenue; the great Way	TOCFL 3
大選	dàxuǎn	noun — a general election	TOCFL 5
大部分	dàbùfèn	noun — the greater part; most of	TOCFL 2
大都	dàdōu	adverb — for the most part, mostly, by and large	TOCFL 1
大量	dàliàng	adjective/adverb — a large quantity (of), in large amounts	TOCFL 4
大門	dàmén	noun — front gate; main entrance	TOCFL 2
大陸	dàlù	noun — mainland; continent; (in Taiwan usage) mainland China	TOCFL 3
大隊	dàduì	noun — a large body of troops or people; a brigade	TOCFL 5
天上	tiānshàng	noun — in the sky, up in the heavens; aloft	TOCFL 3
天下	tiānxià	noun — the world; all under heaven; the realm	TOCFL 5
天主教	tiānzhǔjiào	noun — Catholicism, the Catholic Church	TOCFL 4
天地	tiāndì	noun — heaven and earth; the world; a realm of one's own	TOCFL 6
天堂	tiāntáng	noun — heaven, paradise	TOCFL 5
天天	tiāntiān	adverb — every day, day after day	TOCFL 1
天安門	Tiān'ānmén	proper noun — the gate on the north side of Tiananmen Square, Beijing	TOCFL 4
天性	tiānxìng	noun — innate nature; one's inborn disposition	TOCFL 5
天才	tiāncái	noun — a genius; innate talent, natural gift	TOCFL 4
天敵	tiāndí	noun — a natural enemy; a predator a species is born to fear	TOCFL 5
天文	tiānwén	noun — astronomy; (attributive) astronomical	TOCFL 4
天氣	tiānqì	noun — weather	TOCFL 1
天災	tiānzāi	noun — a natural disaster	TOCFL 5
天然	tiānrán	adjective — natural; occurring in nature, not man-made	TOCFL 5
天然氣	tiānránqì	noun — natural gas	TOCFL 5
天真	tiānzhēn	adjective — innocent, naive, artless	TOCFL 4
天空	tiānkōng	noun — the sky	TOCFL 4
天門	tiānmén	noun — the gate of heaven; a palace's outer gate	TOCFL 1
天門市	Tiānménshì	proper noun — Tianmen, a county-level city in central Hubei, China, on the Jianghan Plain	named-entity
太原	Tàiyuán	proper noun — Taiyuan, capital of Shanxi province in north China	TOCFL 6
太后	tàihòu	noun — empress dowager, the reigning emperor's mother	TOCFL 7
太太	tàitai	noun — wife; Mrs.; married woman (polite)	TOCFL 1
太子	tàizǐ	noun — the crown prince; the heir to the throne	TOCFL 7
太平	tàipíng	adjective — peaceful, tranquil; (of times) free of trouble	TOCFL 5
太平洋	Tàipíngyáng	proper noun — the Pacific Ocean, the largest ocean on Earth	named-entity
太廟	tàimiào	noun — the imperial ancestral temple	TOCFL 5
太極拳	tàijíquán	noun — tai chi, taijiquan (a slow-moving Chinese martial art)	TOCFL 4
太監	tàijiān	noun — a eunuch (palace official)	TOCFL 7
太空	tàikōng	noun — outer space; the cosmos beyond the sky	TOCFL 5
太陽	tàiyáng	noun — the sun	TOCFL 3
夫人	fūrén	noun — Mrs.; Madame; wife (formal/honorific, especially of a dignitary)	TOCFL 4
夫妻	fūqī	noun — husband and wife; a married couple	TOCFL 3
夫婦	fūfù	noun — a married couple; husband and wife	TOCFL 4
央求	yāngqiú	verb — to plead, to beg earnestly	TOCFL 5
失事	shīshì	verb — to have an accident (esp. of a plane, ship, or vehicle)	TOCFL 5
失去	shīqù	verb — to lose, to be deprived of	TOCFL 5
失戀	shīliàn	verb — to be jilted, to suffer a broken heart; to lose one's love	TOCFL 3
失手	shīshǒu	verb — to lose one's grip; to do harm by accident	TOCFL 5
失掉	shīdiào	verb — to lose, to miss out on (something one had)	TOCFL 4
失敗	shībài	verb — to fail; to lose; noun — failure, defeat	TOCFL 4
失明	shīmíng	verb — to go blind, to lose one's sight	TOCFL 5
失望	shīwàng	verb — to be disappointed, to lose hope; adj — disappointed	TOCFL 4
失業	shīyè	verb — to lose one's job; noun — unemployment	TOCFL 5
失眠	shīmián	verb — to lie awake; noun — insomnia	TOCFL 6
失落	shīluò	verb — to lose, to mislay; adj — let-down, dispirited	TOCFL 5
失蹤	shīzōng	verb — to go missing, to disappear without trace	TOCFL 5
失靈	shīlíng	verb — to malfunction, to stop working properly	TOCFL 5
夾雜	jiāzá	verb — to be mixed in, to be interspersed with	TOCFL 5
奇妙	qímiào	adjective — marvellous, wonderful, full of wonder	TOCFL 5
奇怪	qíguài	adjective — strange; odd; surprising	TOCFL 2
奇異	qíyì	adjective — strange, peculiar, out of the ordinary	TOCFL 5
奇觀	qíguān	noun — a marvellous sight, a spectacle, a wonder	TOCFL 5
奇蹟	qíjī	noun — a miracle, a wonder	TOCFL 5
奉獻	fèngxiàn	verb — to devote, to dedicate, to give of oneself; noun — an offering	TOCFL 5
奉養	fèngyǎng	verb — to support and care for (one's elders)	TOCFL 5
契機	qìjī	noun — a turning point; the moment that sets a change in motion	TOCFL 5
奔跑	bēnpǎo	verb — to run, to dash, to gallop	TOCFL 4
奔騰	bēnténg	verb — to gallop, to surge, to rush forward (of horses or water)	TOCFL 5
套房	tàofáng	noun — a suite; a self-contained room with its own bathroom	TOCFL 5
套裝	tàozhuāng	noun — a matched outfit, a suit (of clothes); a packaged set	TOCFL 5
奠定	diàndìng	verb — to lay (a foundation), to establish firmly	TOCFL 5
奢侈	shēchǐ	adjective — extravagant, lavish, given to excess	TOCFL 5
奢望	shēwàng	noun/verb — an extravagant hope; to hope beyond reason	TOCFL 5
奧妙	àomiào	adj/noun — subtle and profound; the deep cleverness of a thing	TOCFL 5
奧運會	Àoyùnhuì	proper noun — the Olympic Games (short for 奧林匹克運動會)	TOCFL 4
奪取	duóqǔ	verb — to seize; to capture; to wrest by force	TOCFL 6
奪得	duódé	verb — to win, to carry off (a title, medal, prize)	TOCFL 6
奪魁	duókuí	verb — to seize first place, take the championship	TOCFL 5
奮鬥	fèndòu	verb — to struggle, to strive, to fight for a goal	TOCFL 4
女人	nǚrén	noun — woman; adult female	TOCFL 2
女兒	nǚ'ér	noun — daughter	TOCFL 1
女士	nǚshì	noun — a lady, madam; a polite term of address for a woman	TOCFL 3
女子	nǚzǐ	noun — woman; female	TOCFL 4
女性	nǚxìng	noun — woman, the female sex; attributive — female	TOCFL 4
女方	nǚfāng	noun — the woman's side (in a marriage, match, or dispute)	TOCFL 5
女生	nǚshēng	noun — a girl; a female student	TOCFL 1
奴隸	núlì	noun — slave, a person owned and forced to labor	TOCFL 5
奶奶	nǎinai	noun — grandmother (father's mother); a way to address an old woman	TOCFL 2
奶粉	nǎifěn	noun — milk powder, powdered milk	TOCFL 4
奶茶	nǎichá	noun — milk tea	TOCFL 2
她們	tāmen	pronoun — they; them (female)	TOCFL 1
好了	hǎole	phrase — all right!, that's enough; (it's) ready, done	TOCFL 3
好像	hǎoxiàng	adverb — seemingly; as if; it looks like	TOCFL 2
好受	hǎoshòu	adjective — comfortable to bear, easy to take (usually negated: 不好受)	TOCFL 5
好吃	hǎochī	adjective — tasty; delicious (of food)	TOCFL 1
好在	hǎozài	adverb — fortunately, luckily, it's a good thing that…	TOCFL 4
好奇	hàoqí	adjective — curious, inquisitive	TOCFL 4
好好	hǎohǎo	adverb — properly, thoroughly, all-out (do something the way it should be done)	TOCFL ?
好好兒	hǎohāor	adverb — properly, all-out; in good order: do it well, do it right	TOCFL 3
好客	hàokè	adjective — hospitable, fond of having guests	TOCFL 4
好手	hǎoshǒu	noun — a skilled hand, an expert, a crack performer	TOCFL 5
好比	hǎobǐ	verb — to be just like; can be compared to (introduces an analogy)	TOCFL 5
好處	hǎochù	noun — benefit, advantage; the good that comes of something	TOCFL 2
如下	rúxià	adverb/phrase — as follows; as below	TOCFL 1
如今	rújīn	noun/adverb — nowadays, now, at the present time	TOCFL 4
如何	rúhé	pronoun/adverb — how; in what way; what about	TOCFL 2
如同	rútóng	verb/conj — to be like; just as; as if	TOCFL 5
如意	rúyì	verb — to go as one wishes, to turn out as hoped; adjective — satisfying, just right	TOCFL 3
如果	rúguǒ	conjunction — if, in the case that	TOCFL 2
如果說	rúguǒshuō	conjunction — if (one were to say), supposing that…	TOCFL 4
如此	rúcǐ	phrase — like this, so, in this way; thus	TOCFL 3
妥協	tuǒxié	verb — to compromise, to make concessions; to come to terms	TOCFL 4
妥善	tuǒshàn	adjective/adverb — proper, appropriate; properly, well (handled)	TOCFL 4
妥當	tuǒdàng	adjective — proper, appropriate, secure (well arranged)	TOCFL 4
妨礙	fáng'ài	verb — to hinder, obstruct, get in the way of	TOCFL 5
妳們	nǐmen	pronoun — you (plural), addressed to a group of females	TOCFL 1
妹妹	mèimei	noun — younger sister	TOCFL 1
妻子	qīzi	noun — wife	TOCFL 4
姊妹	zǐmèi	noun — sisters; (figuratively) closely linked counterparts, as in sister cities	TOCFL 3
姊姊	jiějie	noun — older sister	TOCFL 1
始建	shǐjiàn	verb — was first built; construction began (used of dates: 始建於 first built in)	TOCFL ?
始終	shǐzhōng	adverb — from start to finish, all along, throughout	TOCFL 5
姐姐	jiějie	noun — older sister	TOCFL 1
姑丈	gūzhàng	noun — uncle by marriage (husband of one's father's sister)	TOCFL 4
姑姑	gūgū	noun — father's sister; aunt (paternal)	TOCFL 3
姑娘	gūniáng	noun — young woman; girl	TOCFL 3
姓名	xìngmíng	noun — full name (family name plus given name)	TOCFL 1
委員	wěiyuán	noun — committee member; commissioner; delegate	TOCFL 5
委員會	wěiyuánhuì	noun — committee; commission; council	TOCFL 4
委員長	wěiyuánzhǎng	noun — committee chairman, the head of a committee	TOCFL 6
委屈	wěiqu	noun/adjective/verb — to feel wronged; a grievance; to put (someone) in an unfair position	TOCFL 4
委託	wěituō	verb — to entrust, to commission (someone to act for you)	TOCFL 6
姿勢	zīshì	noun — posture, stance, position	TOCFL 5
姿態	zītài	noun — posture, bearing; pose, attitude	TOCFL 5
威力	wēilì	noun — overwhelming power, might (of a weapon, storm, force)	TOCFL 5
威脅	wēixié	verb — to threaten; noun — a threat	TOCFL 5
威風	wēifēng	noun/adj — an imposing air, impressive bearing; commanding, impressive	TOCFL 5
娃娃	wáwa	noun — a baby, a small child; a doll	TOCFL 3
娘家	niángjia	noun — a married woman's parents' home, her natal family	TOCFL 5
娛樂	yúlè	noun/verb — entertainment, amusement; to entertain, to have fun	TOCFL 4
婆婆	pópo	noun — husband's mother, mother-in-law; (colloquial) an old woman, granny	TOCFL 5
婆家	pójia	noun — a married woman's husband's family, her in-laws' home	TOCFL 5
婚姻	hūnyīn	noun — marriage; matrimony	TOCFL 4
婚禮	hūnlǐ	noun — a wedding, a marriage ceremony	TOCFL 3
婦人	fùrén	noun — a (married, adult) woman	TOCFL 5
婦女	fùnǚ	noun — women, womenfolk (as a group)	TOCFL 4
媒體	méitǐ	noun — the media, a medium of communication	TOCFL 4
媳婦	xífù	noun — daughter-in-law; (colloquial, northern) wife	TOCFL 5
媽媽	māma	noun — mom; mama	TOCFL 1
嫂子	sǎozi	noun — elder brother's wife; (form of address) sister-in-law, ma'am	TOCFL 5
嫉妒	jídù	verb — to envy, to be jealous of	TOCFL 4
嫌疑	xiányí	noun — suspicion (of wrongdoing); the appearance of being guilty	TOCFL 5
嬰兒	yīng'ér	noun — baby, infant	TOCFL 4
子女	zǐnǚ	noun — sons and daughters; one's children	TOCFL 4
子孫	zǐsūn	noun — children and grandchildren; descendants, posterity	TOCFL 5
子弟	zǐdì	noun — sons and younger brothers; the young of a family or group	TOCFL 5
子彈	zǐdàn	noun — a bullet, a cartridge	TOCFL 5
孕婦	yùnfù	noun — a pregnant woman	TOCFL 5
字典	zìdiǎn	noun — a dictionary (organized by single characters)	TOCFL 1
字幕	zìmù	noun — subtitles, captions (on screen)	TOCFL 4
字形	zìxíng	noun — the shape of a written character; the form of a glyph	TOCFL 5
字樣	zìyàng	noun — words/wording printed or marked on something; a sample of writing	TOCFL 5
字母	zìmǔ	noun — letter (of an alphabet); alphabet letters	TOCFL 4
字眼	zìyǎn	noun — a (chosen, telling) word; the wording one picks	TOCFL 5
字眼兒	zìyǎnr	noun — a (chosen, telling) word; the wording one picks (colloquial, erhua)	TOCFL 5
字體	zìtǐ	noun — a typeface, font; a style of script; one's handwriting	TOCFL 5
存在	cúnzài	verb — to exist; noun — existence; being	TOCFL 4
存款	cúnkuǎn	noun/verb — savings, bank deposit; to deposit money	TOCFL 4
存貨	cúnhuò	noun — goods in stock, inventory; verb — to stock goods	TOCFL 5
孝子	xiàozǐ	noun — a filial son, a son devoted to his parents	TOCFL 5
孝感	xiàogǎn	proper noun — Xiaogan, a prefecture-level city in Hubei province, northwest of Wuhan	named-entity
孝順	xiàoshùn	verb — to honor and obey one's parents; adjective — dutiful, filial	TOCFL 3
季度	jìdù	noun — a quarter of the year (three months)	TOCFL 3
季節	jìjié	noun — season	TOCFL 3
季風	jìfēng	noun — a monsoon, a seasonal wind	TOCFL 5
孤兒	gū'ér	noun — an orphan	TOCFL 5
孤單	gūdān	adjective — lonely, alone; solitary	TOCFL 4
孤獨	gūdú	adjective — lonely, solitary; noun — solitude	TOCFL 5
孤立	gūlì	adjective — isolated; verb — to isolate, to cut off	TOCFL 5
孩子	háizi	noun — child; children	TOCFL 2
孫中山	Sūn Zhōngshān	proper noun — Sun Yat-sen, founding leader of the 1911 revolution and first provisional president of the Republic of China	named-entity
孫女	sūnnǚ	noun — a granddaughter, a son's daughter	TOCFL 2
孫子	sūnzi	noun — a grandson; (broadly) a grandchild	TOCFL 2
學位	xuéwèi	noun — academic degree (a qualification from a university)	TOCFL 4
學分	xuéfēn	noun — (academic) credit, course unit	TOCFL 5
學制	xuézhì	noun — education system; the structure of schooling (grades, years, levels)	TOCFL 5
學員	xuéyuán	noun — trainee, course participant, student (in a training program)	TOCFL 5
學問	xuéwèn	noun — learning, knowledge; the body of what one has studied	TOCFL 3
學年	xuénián	noun — academic year, school year	TOCFL 5
學徒	xuétú	noun — apprentice; one learning a trade under a master	TOCFL 5
學會	xuéhuì	verb — to learn (and master); noun — a learned society, an academic association	TOCFL 4
學期	xuéqí	noun — a school term, a semester	TOCFL 2
學校	xuéxiào	noun — school; educational institution	TOCFL 1
學業	xuéyè	noun — studies, schoolwork, academic work	TOCFL 4
學歷	xuélì	noun — educational background, academic credentials	TOCFL 4
學生	xuéshēng	noun — student; a person enrolled in school	TOCFL 1
學科	xuékē	noun — a discipline; a school subject	TOCFL 5
學習	xuéxí	verb — to study; to learn; to practice	TOCFL 2
學者	xuézhě	noun — a scholar, an academic	TOCFL 4
學術	xuéshù	noun — scholarship; academic learning	TOCFL 5
學說	xuéshuō	noun — a theory; a doctrine; a body of teaching	TOCFL 6
學識	xuéshì	noun — knowledge, learning, erudition	TOCFL 5
學費	xuéfèi	noun — tuition, school fees	TOCFL 3
學院	xuéyuàn	noun — college; academy; institute	TOCFL 3
它們	tāmen	pronoun — they, them (for things or animals)	TOCFL 1
宇宙	yǔzhòu	noun — the universe; the cosmos	TOCFL 5
守護	shǒuhù	verb — to guard, to watch over, to protect	TOCFL 5
安全	ānquán	adjective/noun — safe; safety; security	TOCFL 2
安定	āndìng	adjective — stable, settled; verb — to stabilize, settle (down)	TOCFL 5
安寧	ānníng	adj/noun — peaceful, undisturbed; peace, tranquility	TOCFL 5
安徽	ānhuī	proper noun — Anhui, a province in eastern China	named-entity
安心	ānxīn	verb — to set one's mind at ease; adjective — at ease, free of worry	TOCFL 3
安慰	ānwèi	verb/noun — to comfort, to console; comfort, consolation	TOCFL 4
安排	ānpái	verb/noun — to arrange; to plan; to schedule; arrangement	TOCFL 4
安撫	ānfǔ	verb — to soothe, to calm, to pacify	TOCFL 5
安置	ānzhì	verb — to settle (someone), to find a place for, to arrange, to install	TOCFL 5
安裝	ānzhuāng	verb — to install, to set up, to fit (a device, software)	TOCFL 6
安詳	ānxiáng	adjective — serene, composed, unhurried (of manner or expression)	TOCFL 5
安靜	ānjìng	adjective — quiet, still; calm and undisturbed	TOCFL 3
安頓	āndùn	verb — to settle (someone) in, to get settled, to arrange comfortably	TOCFL 5
宋代	sòngdài	proper noun — the Song dynasty (960–1279), a Chinese imperial era	named-entity
宋江	Sòngjiāng	proper noun — Song Jiang, the chief of the 108 outlaws in the classic novel Water Margin	named-entity
完備	wánbèi	adjective — complete, fully equipped, leaving nothing missing	TOCFL 5
完全	wánquán	adverb — completely, entirely; adjective — complete, whole	TOCFL 2
完善	wánshàn	verb/adjective — to improve; to perfect; complete and well-designed	TOCFL 5
完成	wánchéng	verb — to complete; to finish; to accomplish	TOCFL 3
完整	wánzhěng	adjective — complete, whole, intact	TOCFL 4
完畢	wánbì	verb — to finish, to complete; to be done, over	TOCFL 4
完美	wánměi	adjective — perfect, flawless	TOCFL 4
宏偉	hóngwěi	adjective — grand, magnificent, imposing (of buildings, plans, scale)	TOCFL 5
宗教	zōngjiào	noun — religion	TOCFL 4
宗旨	zōngzhǐ	noun — aim, purpose; guiding tenet	TOCFL 5
官兵	guānbīng	noun — officers and soldiers; the troops	TOCFL 6
官司	guānsi	noun — a lawsuit, litigation; a legal dispute	TOCFL 5
官吏	guānlì	noun — officials, officialdom (government office-holders as a group)	TOCFL 7
官員	guānyuán	noun — official; government officer; functionary	TOCFL 4
官家	guānjiā	noun — the imperial court, the throne (a Song-era term of address for the emperor); the government, the authorities	TOCFL 6
官方	guānfāng	noun/adjective — official, governmental; the authorities	TOCFL 4
官軍	guānjūn	noun — government troops, the official army (against rebels or bandits)	TOCFL 6
定期	dìngqī	adjective/adverb — regular, periodic; at fixed intervals	TOCFL 4
定義	dìngyì	noun — a definition; verb — to define	TOCFL 5
定額	dìng'é	noun — a fixed amount, a quota; adj — fixed in quantity	TOCFL 5
宜昌市	Yíchāngshì	proper noun — Yichang, a city in western Hubei, China, on the Yangtze near the Three Gorges Dam	named-entity
客人	kèrén	noun — a guest, a visitor; a customer	TOCFL 2
客廳	kètīng	noun — living room, the room where guests are received	TOCFL 1
客戶	kèhù	noun — client; customer (of a business)	TOCFL 4
客房	kèfáng	noun — guest room; (hotel) guest room	TOCFL 4
客機	kèjī	noun — passenger plane, airliner	TOCFL 5
客氣	kèqi	adjective — polite, courteous; verb — to stand on ceremony, to decline politely	TOCFL 1
客滿	kèmǎn	verb/adjective — fully booked, sold out, no seats left	TOCFL 2
客觀	kèguān	adjective — objective, judging by the facts rather than one's own feelings; noun — objectivity	TOCFL 5
宣佈	xuānbù	verb — to announce; to declare; to proclaim	TOCFL 3
宣傳	xuānchuán	verb — to publicize, to promote; noun — publicity, propaganda	TOCFL 5
宣告	xuāngào	verb — to declare; to proclaim formally	TOCFL 6
宣布	xuānbù	verb — to announce, declare, proclaim (a decision, result, news) publicly	TOCFL 4
宣揚	xuānyáng	verb — to publicize, to spread, to make widely known	TOCFL 5
宣示	xuānshì	verb — to declare openly, to proclaim (a stance, sovereignty, intent)	TOCFL 5
宣稱	xuānchēng	verb — to claim, to assert, to profess (often a claim not yet proven)	TOCFL 5
宣言	xuānyán	noun — a declaration, a manifesto	TOCFL 6
宣誓	xuānshì	verb — to take an oath, to swear (an oath of office, loyalty)	TOCFL 5
室友	shìyǒu	noun — a roommate, a flatmate	TOCFL 2
宮中	gōngzhōng	noun phrase — inside the palace; within the imperial court	TOCFL 3
宮女	gōngnǚ	noun — palace maid, lady-in-waiting (a woman serving in the imperial palace)	TOCFL 1
宮廷	gōngtíng	noun — the (royal) court; the palace as a seat of power	TOCFL 7
宮殿	gōngdiàn	noun — a palace; a grand royal hall complex	TOCFL 7
害怕	hàipà	verb — to be afraid; to fear	TOCFL 3
害羞	hàixiū	adjective — shy, bashful; verb — to feel shy	TOCFL 2
害處	hàichù	noun — harm, drawback, the bad effect (of something)	TOCFL 4
害蟲	hàichóng	noun — a pest, a harmful insect	TOCFL 5
宴會	yànhuì	noun — banquet, feast, formal dinner party	TOCFL 4
宵夜	xiāoyè	noun — late-night snack, a meal eaten late at night	TOCFL 4
家事	jiāshì	noun — housework, household chores; family affairs	TOCFL 4
家人	jiārén	noun — family members, the people of one's household	TOCFL 1
家具	jiājù	noun — furniture	TOCFL 1
家家戶戶	jiājiāhùhù	noun phrase — every household, each and every family	TOCFL 5
家屬	jiāshǔ	noun — family members, next of kin, dependents	TOCFL 5
家庭	jiātíng	noun — family; household	TOCFL 2
家族	jiāzú	noun — a clan, an extended family	TOCFL 5
家裡	jiālǐ	place word — inside the home; at home; in the house	TOCFL 1
家鄉	jiāxiāng	noun — one's hometown, native place	TOCFL 3
家長	jiāzhǎng	noun — parent; guardian; head of a household	TOCFL 4
家電	jiādiàn	noun — home appliances, household electrical goods	TOCFL 4
容器	róngqì	noun — a container, a vessel	TOCFL 5
容易	róngyì	adjective — easy; simple; not difficult	TOCFL 2
容納	róngnà	verb — to hold, to contain; to accommodate (people, ideas)	TOCFL 5
容許	róngxǔ	verb — to permit, to allow	TOCFL 5
容量	róngliàng	noun — capacity; the amount a container or system can hold	TOCFL 5
宿舍	sùshè	noun — dormitory, a residence for students or staff	TOCFL 1
寂寞	jìmò	adjective — lonely, lonesome; noun — loneliness	TOCFL 4
密切	mìqiè	adjective — close; intimate; tight (of relations)	TOCFL 5
密度	mìdù	noun — density (how tightly packed something is per unit of space)	TOCFL 6
密集	mìjí	adjective — dense, closely packed, concentrated	TOCFL 5
富有	fùyǒu	adjective — wealthy, rich; verb — to be rich in (something)	TOCFL 5
富裕	fùyù	adjective — wealthy, affluent, well-off	TOCFL 4
富貴	fùguì	noun — wealth and rank; adjective — rich and honoured	TOCFL 5
寒假	hánjià	noun — winter vacation, the winter school holiday	TOCFL 2
寒冷	hánlěng	adjective — cold, frigid (of weather)	TOCFL 4
寓言	yùyán	noun — a fable; a short story that lodges a lesson	TOCFL 5
察覺	chájué	verb — to notice, to become aware of	TOCFL 5
寡婦	guǎfù	noun — a widow	TOCFL 5
寡頭	guǎtóu	noun — oligarch; oligarchy	TOCFL 6
寢室	qǐnshì	noun — bedroom, dormitory room, sleeping quarters	TOCFL 4
實例	shílì	noun — a concrete example, a real-life case	TOCFL 5
實力	shílì	noun — actual strength; real ability	TOCFL 5
實在	shízài	adverb/adjective — really; truly; genuine; solid; down-to-earth	TOCFL 3
實地	shídì	adverb — on site, at the actual place; in person	TOCFL 5
實施	shíshī	verb — to implement; to put into practice; to carry out	TOCFL 5
實況	shíkuàng	noun — the actual situation; live coverage of an event as it happens	TOCFL 5
實現	shíxiàn	verb — to realize; to achieve; to fulfill; to make real	TOCFL 4
實用	shíyòng	adjective — practical, useful, functional (serving a real need)	TOCFL 4
實習	shíxí	verb — to do an internship, to train on the job; noun — practical training	TOCFL 5
實行	shíxíng	verb — to put into practice, to carry out, to implement	TOCFL 3
實話	shíhuà	noun — the truth, honest words	TOCFL 3
實證	shízhèng	noun — empirical evidence, proof from fact; adjective — empirical	TOCFL 5
實質	shízhì	noun — substance, essence; adjective — substantive, real (as opposed to nominal)	TOCFL 5
實踐	shíjiàn	verb — to put into practice, to carry out; noun — practice	TOCFL 5
